user_id,last_date,active_days,total_revenue,recency_days,frequency,monetary,r_quintile,f_quintile,m_quintile,RFM_score,RFM_numeric,segment
user_1054,2025-06-28,14,0.0,3,14,0.0,4,1,1,411,411,Potential
user_1055,2025-06-30,1,0.0,1,1,0.0,5,1,1,511,511,At Risk
user_1056,2025-06-29,28,11.97,2,28,11.97,5,4,5,545,545,At Risk
user_1057,2025-06-27,19,0.99,4,19,0.99,4,2,3,423,423,Potential
user_1058,2025-06-15,32,0.0,16,32,0.0,1,5,1,151,151,Champions
user_1059,2025-06-24,20,0.0,7,20,0.0,3,2,1,321,321,Loyal
user_106,2025-06-26,34,0.99,5,34,0.99,3,5,3,353,353,Potential
user_1060,2025-06-20,22,0.0,11,22,0.0,2,2,1,221,221,Champions
user_1061,2025-06-30,14,0.99,1,14,0.99,5,1,3,513,513,At Risk
user_1062,2025-06-30,2,0.99,1,2,0.99,5,1,3,513,513,At Risk
user_1063,2025-06-30,20,0.0,1,20,0.0,5,2,1,521,521,At Risk
user_1064,2025-06-29,34,0.99,2,34,0.99,5,5,3,553,553,At Risk
user_1065,2025-06-28,27,4.970000000000001,3,27,4.970000000000001,4,4,5,445,445,Potential
user_1066,2025-06-28,18,6.970000000000001,3,18,6.970000000000001,4,2,5,425,425,Potential
user_1067,2025-06-30,28,0.99,1,28,0.99,5,4,3,543,543,At Risk
user_1068,2025-06-20,29,0.0,11,29,0.0,2,4,1,241,241,Loyal
user_1069,2025-06-24,27,3.9800000000000004,7,27,3.9800000000000004,3,4,4,344,344,Potential
user_107,2025-06-16,21,0.0,15,21,0.0,2,2,1,221,221,Champions
user_1070,2025-06-20,22,0.99,11,22,0.99,2,2,3,223,223,Champions
user_1071,2025-06-11,18,2.99,20,18,2.99,1,2,4,124,124,Champions
user_1072,2025-06-01,28,0.0,30,28,0.0,1,4,1,141,141,Champions
user_1073,2025-06-24,30,7.960000000000001,7,30,7.960000000000001,3,4,5,345,345,Potential
user_1074,2025-05-18,26,4.970000000000001,44,26,4.970000000000001,1,3,5,135,135,Champions
user_1075,2025-06-29,2,0.0,2,2,0.0,5,1,1,511,511,At Risk
user_1076,2025-06-27,26,0.0,4,26,0.0,4,3,1,431,431,Potential
user_1077,2025-06-28,33,0.0,3,33,0.0,4,5,1,451,451,Potential
user_1078,2025-06-26,21,19.99,5,21,19.99,3,2,5,325,325,Loyal
user_1079,2025-06-08,37,3.96,23,37,3.96,1,5,4,154,154,Champions
user_108,2025-06-30,18,0.0,1,18,0.0,5,2,1,521,521,At Risk
user_1080,2025-06-24,2,0.0,7,2,0.0,3,1,1,311,311,Loyal
user_1081,2025-06-29,12,0.0,2,12,0.0,5,1,1,511,511,At Risk
user_1082,2025-06-08,30,0.0,23,30,0.0,1,4,1,141,141,Champions
user_1083,2025-06-23,28,1.98,8,28,1.98,2,4,4,244,244,Loyal
user_1084,2025-06-30,10,0.99,1,10,0.99,5,1,3,513,513,At Risk
user_1085,2025-06-20,2,0.0,11,2,0.0,2,1,1,211,211,Champions
user_1086,2025-06-30,31,3.9800000000000004,1,31,3.9800000000000004,5,4,4,544,544,At Risk
user_1087,2025-06-30,20,1.98,1,20,1.98,5,2,4,524,524,At Risk
user_1088,2025-06-06,25,13.97,25,25,13.97,1,3,5,135,135,Champions
user_1089,2025-06-28,1,0.0,3,1,0.0,4,1,1,411,411,Potential
user_109,2025-06-30,36,2.99,1,36,2.99,5,5,4,554,554,At Risk
user_1090,2025-06-22,36,0.99,9,36,0.99,2,5,3,253,253,Loyal
user_1091,2025-06-28,4,0.0,3,4,0.0,4,1,1,411,411,Potential
user_1092,2025-06-24,17,0.99,7,17,0.99,3,2,3,323,323,Loyal
user_1093,2025-06-25,24,0.99,6,24,0.99,3,3,3,333,333,Loyal
user_1094,2025-06-25,30,4.95,6,30,4.95,3,4,5,345,345,Potential
user_1095,2025-06-25,23,0.0,6,23,0.0,3,3,1,331,331,Loyal
user_1096,2025-06-23,26,0.0,8,26,0.0,2,3,1,231,231,Champions
user_1097,2025-06-11,30,0.0,20,30,0.0,1,4,1,141,141,Champions
user_1098,2025-06-04,36,20.979999999999997,27,36,20.979999999999997,1,5,5,155,155,Champions
user_1099,2025-06-27,12,0.0,4,12,0.0,4,1,1,411,411,Potential
user_11,2025-05-19,29,1.98,43,29,1.98,1,4,4,144,144,Champions
user_110,2025-06-22,36,0.0,9,36,0.0,2,5,1,251,251,Loyal
user_1100,2025-06-16,27,20.979999999999997,15,27,20.979999999999997,2,4,5,245,245,Loyal
user_1101,2025-06-07,29,0.99,24,29,0.99,1,4,3,143,143,Champions
user_1102,2025-06-26,3,0.0,5,3,0.0,3,1,1,311,311,Loyal
user_1103,2025-06-30,8,0.0,1,8,0.0,5,1,1,511,511,At Risk
user_1104,2025-06-25,5,0.0,6,5,0.0,3,1,1,311,311,Loyal
user_1105,2025-06-30,1,0.0,1,1,0.0,5,1,1,511,511,At Risk
user_1106,2025-06-28,21,0.0,3,21,0.0,4,2,1,421,421,Potential
user_1107,2025-06-22,23,0.99,9,23,0.99,2,3,3,233,233,Loyal
user_1108,2025-06-28,12,0.0,3,12,0.0,4,1,1,411,411,Potential
user_1109,2025-06-28,19,3.9800000000000004,3,19,3.9800000000000004,4,2,4,424,424,Potential
user_111,2025-06-24,22,0.0,7,22,0.0,3,2,1,321,321,Loyal
user_1110,2025-06-22,34,0.0,9,34,0.0,2,5,1,251,251,Loyal
user_1111,2025-06-29,17,0.0,2,17,0.0,5,2,1,521,521,At Risk
user_1112,2025-06-20,25,0.0,11,25,0.0,2,3,1,231,231,Champions
user_1113,2025-06-08,30,0.99,23,30,0.99,1,4,3,143,143,Champions
user_1114,2025-06-30,31,6.970000000000001,1,31,6.970000000000001,5,4,5,545,545,At Risk
user_1115,2025-06-22,24,1.98,9,24,1.98,2,3,4,234,234,Loyal
user_1116,2025-06-28,27,3.9800000000000004,3,27,3.9800000000000004,4,4,4,444,444,Potential
user_1117,2025-06-05,33,2.99,26,33,2.99,1,5,4,154,154,Champions
user_1118,2025-06-26,11,0.0,5,11,0.0,3,1,1,311,311,Loyal
user_1119,2025-06-21,32,0.99,10,32,0.99,2,5,3,253,253,Loyal
user_112,2025-05-31,27,0.0,31,27,0.0,1,4,1,141,141,Champions
user_1120,2025-06-21,33,2.99,10,33,2.99,2,5,4,254,254,Loyal
user_1121,2025-06-25,11,0.0,6,11,0.0,3,1,1,311,311,Loyal
user_1122,2025-06-29,5,0.0,2,5,0.0,5,1,1,511,511,At Risk
user_1123,2025-06-26,11,0.0,5,11,0.0,3,1,1,311,311,Loyal
user_1124,2025-06-25,9,0.0,6,9,0.0,3,1,1,311,311,Loyal
user_1125,2025-06-29,18,0.0,2,18,0.0,5,2,1,521,521,At Risk
user_1126,2025-06-24,27,0.0,7,27,0.0,3,4,1,341,341,Loyal
user_1127,2025-06-12,28,3.9800000000000004,19,28,3.9800000000000004,1,4,4,144,144,Champions
user_1128,2025-06-24,25,0.99,7,25,0.99,3,3,3,333,333,Loyal
user_1129,2025-06-30,35,0.99,1,35,0.99,5,5,3,553,553,At Risk
user_113,2025-06-25,6,0.0,6,6,0.0,3,1,1,311,311,Loyal
user_1130,2025-06-21,36,0.99,10,36,0.99,2,5,3,253,253,Loyal
user_1131,2025-06-29,12,0.0,2,12,0.0,5,1,1,511,511,At Risk
user_1132,2025-06-27,29,1.98,4,29,1.98,4,4,4,444,444,Potential
user_1133,2025-06-18,35,5.98,13,35,5.98,2,5,5,255,255,Loyal
user_1134,2025-06-04,30,3.9800000000000004,27,30,3.9800000000000004,1,4,4,144,144,Champions
user_1135,2025-06-29,18,9.99,2,18,9.99,5,2,5,525,525,At Risk
user_1136,2025-06-03,30,2.9699999999999998,28,30,2.9699999999999998,1,4,4,144,144,Champions
user_1137,2025-06-28,11,2.99,3,11,2.99,4,1,4,414,414,Potential
user_1138,2025-06-30,27,0.99,1,27,0.99,5,4,3,543,543,At Risk
user_1139,2025-06-27,23,0.0,4,23,0.0,4,3,1,431,431,Potential
user_114,2025-06-13,10,0.0,18,10,0.0,1,1,1,111,111,Champions
user_1140,2025-06-29,22,3.9800000000000004,2,22,3.9800000000000004,5,2,4,524,524,At Risk
user_1141,2025-06-30,9,0.0,1,9,0.0,5,1,1,511,511,At Risk
user_1142,2025-06-07,25,0.0,24,25,0.0,1,3,1,131,131,Champions
user_1143,2025-06-30,21,0.99,1,21,0.99,5,2,3,523,523,At Risk
user_1144,2025-06-28,19,0.0,3,19,0.0,4,2,1,421,421,Potential
user_1145,2025-06-22,28,0.99,9,28,0.99,2,4,3,243,243,Loyal
user_1146,2025-06-30,10,0.0,1,10,0.0,5,1,1,511,511,At Risk
user_1147,2025-06-25,13,0.99,6,13,0.99,3,1,3,313,313,Loyal
user_1148,2025-06-28,19,2.99,3,19,2.99,4,2,4,424,424,Potential
user_1149,2025-06-25,12,0.0,6,12,0.0,3,1,1,311,311,Loyal
user_115,2025-06-17,27,0.99,14,27,0.99,2,4,3,243,243,Loyal
user_1150,2025-06-28,6,0.0,3,6,0.0,4,1,1,411,411,Potential
user_1151,2025-06-28,23,0.99,3,23,0.99,4,3,3,433,433,Potential
user_1152,2025-06-24,11,2.9699999999999998,7,11,2.9699999999999998,3,1,4,314,314,Loyal
user_1153,2025-06-26,16,0.99,5,16,0.99,3,2,3,323,323,Loyal
user_1154,2025-06-29,18,0.0,2,18,0.0,5,2,1,521,521,At Risk
user_1155,2025-06-29,28,0.99,2,28,0.99,5,4,3,543,543,At Risk
user_1156,2025-06-29,16,22.98,2,16,22.98,5,2,5,525,525,At Risk
user_1157,2025-06-27,30,18.96,4,30,18.96,4,4,5,445,445,Potential
user_1158,2025-06-26,9,0.0,5,9,0.0,3,1,1,311,311,Loyal
user_1159,2025-06-29,7,0.0,2,7,0.0,5,1,1,511,511,At Risk
user_116,2025-06-30,10,0.0,1,10,0.0,5,1,1,511,511,At Risk
user_1160,2025-06-01,30,0.0,30,30,0.0,1,4,1,141,141,Champions
user_1161,2025-06-28,19,0.99,3,19,0.99,4,2,3,423,423,Potential
user_1162,2025-06-29,34,0.99,2,34,0.99,5,5,3,553,553,At Risk
user_1163,2025-06-27,29,0.0,4,29,0.0,4,4,1,441,441,Potential
user_1164,2025-06-25,18,0.0,6,18,0.0,3,2,1,321,321,Loyal
user_1165,2025-06-08,30,2.99,23,30,2.99,1,4,4,144,144,Champions
user_1166,2025-06-29,14,0.0,2,14,0.0,5,1,1,511,511,At Risk
user_1167,2025-06-30,11,0.99,1,11,0.99,5,1,3,513,513,At Risk
user_1168,2025-06-24,16,19.99,7,16,19.99,3,2,5,325,325,Loyal
user_1169,2025-06-19,24,4.970000000000001,12,24,4.970000000000001,2,3,5,235,235,Loyal
user_117,2025-06-26,12,19.99,5,12,19.99,3,1,5,315,315,Loyal
user_1170,2025-06-17,24,2.99,14,24,2.99,2,3,4,234,234,Loyal
user_1171,2025-06-25,20,0.0,6,20,0.0,3,2,1,321,321,Loyal
user_1172,2025-06-29,3,0.0,2,3,0.0,5,1,1,511,511,At Risk
user_1173,2025-06-30,22,0.0,1,22,0.0,5,2,1,521,521,At Risk
user_1174,2025-06-08,22,0.0,23,22,0.0,1,2,1,121,121,Champions
user_1175,2025-06-29,19,0.99,2,19,0.99,5,2,3,523,523,At Risk
user_1176,2025-06-25,18,12.98,6,18,12.98,3,2,5,325,325,Loyal
user_1177,2025-06-29,13,2.99,2,13,2.99,5,1,4,514,514,At Risk
user_1178,2025-05-03,26,3.9800000000000004,59,26,3.9800000000000004,1,3,4,134,134,Champions
user_1179,2025-06-21,16,0.0,10,16,0.0,2,2,1,221,221,Champions
user_118,2025-06-28,33,0.0,3,33,0.0,4,5,1,451,451,Potential
user_1180,2025-06-12,21,0.99,19,21,0.99,1,2,3,123,123,Champions
user_1181,2025-06-28,5,0.0,3,5,0.0,4,1,1,411,411,Potential
user_1182,2025-06-10,31,0.0,21,31,0.0,1,4,1,141,141,Champions
user_1183,2025-06-21,16,0.0,10,16,0.0,2,2,1,221,221,Champions
user_1184,2025-06-30,4,0.0,1,4,0.0,5,1,1,511,511,At Risk
user_1185,2025-06-27,26,0.99,4,26,0.99,4,3,3,433,433,Potential
user_1186,2025-06-30,5,0.0,1,5,0.0,5,1,1,511,511,At Risk
user_1187,2025-06-19,16,0.0,12,16,0.0,2,2,1,221,221,Champions
user_1188,2025-06-15,33,14.96,16,33,14.96,1,5,5,155,155,Champions
user_1189,2025-06-18,28,0.0,13,28,0.0,2,4,1,241,241,Loyal
user_119,2025-06-29,12,0.0,2,12,0.0,5,1,1,511,511,At Risk
user_1190,2025-06-30,19,0.0,1,19,0.0,5,2,1,521,521,At Risk
user_1191,2025-06-16,33,0.0,15,33,0.0,2,5,1,251,251,Loyal
user_1192,2025-06-30,23,10.98,1,23,10.98,5,3,5,535,535,At Risk
user_1193,2025-06-26,37,0.0,5,37,0.0,3,5,1,351,351,Potential
user_1194,2025-06-29,33,3.9800000000000004,2,33,3.9800000000000004,5,5,4,554,554,At Risk
user_1195,2025-06-05,35,4.970000000000001,26,35,4.970000000000001,1,5,5,155,155,Champions
user_1196,2025-06-27,7,0.0,4,7,0.0,4,1,1,411,411,Potential
user_1197,2025-06-29,3,0.99,2,3,0.99,5,1,3,513,513,At Risk
user_1198,2025-06-30,2,0.0,1,2,0.0,5,1,1,511,511,At Risk
user_1199,2025-06-29,20,0.99,2,20,0.99,5,2,3,523,523,At Risk
user_12,2025-06-30,4,0.0,1,4,0.0,5,1,1,511,511,At Risk
user_120,2025-06-27,22,0.0,4,22,0.0,4,2,1,421,421,Potential
user_1200,2025-06-25,37,0.0,6,37,0.0,3,5,1,351,351,Potential
user_1201,2025-06-29,17,0.99,2,17,0.99,5,2,3,523,523,At Risk
user_1202,2025-06-04,32,3.9800000000000004,27,32,3.9800000000000004,1,5,4,154,154,Champions
user_1203,2025-05-21,26,20.979999999999997,41,26,20.979999999999997,1,3,5,135,135,Champions
user_1204,2025-06-18,31,0.0,13,31,0.0,2,4,1,241,241,Loyal
user_1205,2025-06-18,24,0.99,13,24,0.99,2,3,3,233,233,Loyal
user_1206,2025-06-27,14,0.0,4,14,0.0,4,1,1,411,411,Potential
user_1207,2025-06-30,18,0.0,1,18,0.0,5,2,1,521,521,At Risk
user_1208,2025-06-30,29,0.0,1,29,0.0,5,4,1,541,541,At Risk
user_1209,2025-06-28,31,10.98,3,31,10.98,4,4,5,445,445,Potential
user_121,2025-06-30,12,0.0,1,12,0.0,5,1,1,511,511,At Risk
user_1211,2025-06-22,25,0.0,9,25,0.0,2,3,1,231,231,Champions
user_1212,2025-06-29,28,0.99,2,28,0.99,5,4,3,543,543,At Risk
user_1213,2025-06-19,34,2.99,12,34,2.99,2,5,4,254,254,Loyal
user_1214,2025-06-30,12,0.0,1,12,0.0,5,1,1,511,511,At Risk
user_1215,2025-06-28,20,3.9800000000000004,3,20,3.9800000000000004,4,2,4,424,424,Potential
user_1216,2025-06-18,26,0.0,13,26,0.0,2,3,1,231,231,Champions
user_1217,2025-06-16,35,6.93,15,35,6.93,2,5,5,255,255,Loyal
user_1218,2025-06-30,20,0.0,1,20,0.0,5,2,1,521,521,At Risk
user_1219,2025-06-30,15,0.99,1,15,0.99,5,2,3,523,523,At Risk
user_122,2025-06-30,8,0.0,1,8,0.0,5,1,1,511,511,At Risk
user_1220,2025-06-28,32,0.99,3,32,0.99,4,5,3,453,453,Potential
user_1221,2025-06-30,8,0.0,1,8,0.0,5,1,1,511,511,At Risk
user_1222,2025-06-17,32,2.9699999999999998,14,32,2.9699999999999998,2,5,4,254,254,Loyal
user_1223,2025-06-29,24,12.96,2,24,12.96,5,3,5,535,535,At Risk
user_1224,2025-06-30,5,0.0,1,5,0.0,5,1,1,511,511,At Risk
user_1225,2025-06-20,20,19.99,11,20,19.99,2,2,5,225,225,Champions
user_1226,2025-06-29,25,0.0,2,25,0.0,5,3,1,531,531,At Risk
user_1227,2025-06-27,31,9.99,4,31,9.99,4,4,5,445,445,Potential
user_1228,2025-06-26,30,2.99,5,30,2.99,3,4,4,344,344,Potential
user_123,2025-06-24,34,0.0,7,34,0.0,3,5,1,351,351,Potential
user_1230,2025-06-27,28,9.99,4,28,9.99,4,4,5,445,445,Potential
user_1231,2025-06-22,9,0.0,9,9,0.0,2,1,1,211,211,Champions
user_1232,2025-06-22,28,0.99,9,28,0.99,2,4,3,243,243,Loyal
user_1233,2025-05-29,29,0.99,33,29,0.99,1,4,3,143,143,Champions
user_1234,2025-06-01,38,22.98,30,38,22.98,1,5,5,155,155,Champions
user_1235,2025-06-28,15,0.99,3,15,0.99,4,2,3,423,423,Potential
user_1236,2025-06-30,23,0.0,1,23,0.0,5,3,1,531,531,At Risk
user_1237,2025-06-30,12,1.98,1,12,1.98,5,1,4,514,514,At Risk
user_1238,2025-06-15,33,0.99,16,33,0.99,1,5,3,153,153,Champions
user_1239,2025-06-27,4,0.0,4,4,0.0,4,1,1,411,411,Potential
user_124,2025-06-23,25,0.0,8,25,0.0,2,3,1,231,231,Champions
user_1240,2025-06-29,36,0.99,2,36,0.99,5,5,3,553,553,At Risk
user_1241,2025-06-30,13,0.0,1,13,0.0,5,1,1,511,511,At Risk
user_1242,2025-06-29,17,0.99,2,17,0.99,5,2,3,523,523,At Risk
user_1243,2025-06-24,13,0.0,7,13,0.0,3,1,1,311,311,Loyal
user_1244,2025-06-30,16,0.0,1,16,0.0,5,2,1,521,521,At Risk
user_1245,2025-06-28,20,0.99,3,20,0.99,4,2,3,423,423,Potential
user_1246,2025-06-30,26,0.99,1,26,0.99,5,3,3,533,533,At Risk
user_1247,2025-05-18,28,0.99,44,28,0.99,1,4,3,143,143,Champions
user_1248,2025-05-26,31,19.98,36,31,19.98,1,4,5,145,145,Champions
user_1249,2025-06-23,8,0.0,8,8,0.0,2,1,1,211,211,Champions
user_125,2025-06-21,30,2.99,10,30,2.99,2,4,4,244,244,Loyal
user_1250,2025-06-26,19,0.99,5,19,0.99,3,2,3,323,323,Loyal
user_1251,2025-06-30,18,0.99,1,18,0.99,5,2,3,523,523,At Risk
user_1252,2025-06-25,26,0.0,6,26,0.0,3,3,1,331,331,Loyal
user_1253,2025-06-16,32,20.979999999999997,15,32,20.979999999999997,2,5,5,255,255,Loyal
user_1254,2025-06-08,25,2.99,23,25,2.99,1,3,4,134,134,Champions
user_1255,2025-06-28,21,0.99,3,21,0.99,4,2,3,423,423,Potential
user_1256,2025-06-30,22,0.99,1,22,0.99,5,2,3,523,523,At Risk
user_1257,2025-06-11,23,3.9800000000000004,20,23,3.9800000000000004,1,3,4,134,134,Champions
user_1258,2025-06-23,21,5.98,8,21,5.98,2,2,5,225,225,Champions
user_1259,2025-06-08,36,0.0,23,36,0.0,1,5,1,151,151,Champions
user_126,2025-06-20,19,0.0,11,19,0.0,2,2,1,221,221,Champions
user_1260,2025-06-24,22,0.0,7,22,0.0,3,2,1,321,321,Loyal
user_1261,2025-06-11,27,0.99,20,27,0.99,1,4,3,143,143,Champions
user_1262,2025-06-26,16,0.0,5,16,0.0,3,2,1,321,321,Loyal
user_1263,2025-05-24,32,1.98,38,32,1.98,1,5,4,154,154,Champions
user_1264,2025-06-24,31,0.0,7,31,0.0,3,4,1,341,341,Loyal
user_1265,2025-06-10,32,3.96,21,32,3.96,1,5,4,154,154,Champions
user_1266,2025-06-08,30,0.0,23,30,0.0,1,4,1,141,141,Champions
user_1267,2025-06-28,30,2.99,3,30,2.99,4,4,4,444,444,Potential
user_1268,2025-06-11,27,0.0,20,27,0.0,1,4,1,141,141,Champions
user_1269,2025-06-26,25,3.9800000000000004,5,25,3.9800000000000004,3,3,4,334,334,Loyal
user_127,2025-06-26,15,0.99,5,15,0.99,3,2,3,323,323,Loyal
user_1270,2025-06-11,30,0.0,20,30,0.0,1,4,1,141,141,Champions
user_1271,2025-06-25,21,0.0,6,21,0.0,3,2,1,321,321,Loyal
user_1272,2025-06-28,9,10.98,3,9,10.98,4,1,5,415,415,Potential
user_1273,2025-06-30,18,0.0,1,18,0.0,5,2,1,521,521,At Risk
user_1274,2025-06-02,31,2.99,29,31,2.99,1,4,4,144,144,Champions
user_1275,2025-06-22,30,0.0,9,30,0.0,2,4,1,241,241,Loyal
user_1276,2025-06-13,33,0.0,18,33,0.0,1,5,1,151,151,Champions
user_1277,2025-06-22,30,0.0,9,30,0.0,2,4,1,241,241,Loyal
user_1278,2025-06-30,3,0.99,1,3,0.99,5,1,3,513,513,At Risk
user_1279,2025-06-06,28,15.97,25,28,15.97,1,4,5,145,145,Champions
user_128,2025-06-30,12,0.0,1,12,0.0,5,1,1,511,511,At Risk
user_1280,2025-06-01,20,0.0,30,20,0.0,1,2,1,121,121,Champions
user_1281,2025-06-29,23,3.9800000000000004,2,23,3.9800000000000004,5,3,4,534,534,At Risk
user_1282,2025-06-29,20,0.99,2,20,0.99,5,2,3,523,523,At Risk
user_1283,2025-06-28,28,10.98,3,28,10.98,4,4,5,445,445,Potential
user_1284,2025-06-10,36,0.0,21,36,0.0,1,5,1,151,151,Champions
user_1285,2025-06-29,25,0.0,2,25,0.0,5,3,1,531,531,At Risk
user_1286,2025-06-30,22,0.0,1,22,0.0,5,2,1,521,521,At Risk
user_1287,2025-05-26,33,2.99,36,33,2.99,1,5,4,154,154,Champions
user_1288,2025-06-08,27,4.970000000000001,23,27,4.970000000000001,1,4,5,145,145,Champions
user_1289,2025-05-11,34,1.98,51,34,1.98,1,5,4,154,154,Champions
user_129,2025-05-24,36,2.9699999999999998,38,36,2.9699999999999998,1,5,4,154,154,Champions
user_1290,2025-05-30,21,0.0,32,21,0.0,1,2,1,121,121,Champions
user_1291,2025-06-28,30,10.98,3,30,10.98,4,4,5,445,445,Potential
user_1292,2025-06-11,24,0.0,20,24,0.0,1,3,1,131,131,Champions
user_1293,2025-06-21,28,0.0,10,28,0.0,2,4,1,241,241,Loyal
user_1294,2025-06-27,22,0.0,4,22,0.0,4,3,1,431,431,Potential
user_1295,2025-06-26,13,0.0,5,13,0.0,3,1,1,311,311,Loyal
user_1296,2025-06-22,33,0.0,9,33,0.0,2,5,1,251,251,Loyal
user_1297,2025-06-12,28,0.99,19,28,0.99,1,4,3,143,143,Champions
user_1298,2025-05-25,26,0.99,37,26,0.99,1,3,3,133,133,Champions
user_1299,2025-06-21,21,2.99,10,21,2.99,2,2,4,224,224,Champions
user_13,2025-06-30,14,0.99,1,14,0.99,5,1,3,513,513,At Risk
user_130,2025-06-22,21,2.99,9,21,2.99,2,2,4,224,224,Champions
user_1300,2025-06-28,14,0.99,3,14,0.99,4,1,3,413,413,Potential
user_1301,2025-05-27,29,2.99,35,29,2.99,1,4,4,144,144,Champions
